Date;Debit(m3/s)
07.09.2012 04:00;0.169
07.09.2012 05:00;3.2484
07.09.2012 06:00;1.4616
07.09.2012 07:00;1.541
07.09.2012 08:00;1.5298
07.09.2012 09:00;1.45
07.09.2012 10:00;1.5648
07.09.2012 11:00;1.5336
07.09.2012 12:00;1.4784
07.09.2012 13:00;1.5744
07.09.2012 14:00;1.5512
07.09.2012 15:00;1.499
07.09.2012 16:00;1.6018
07.09.2012 17:00;1.4998
07.09.2012 18:00;1.5348
07.09.2012 19:00;1.513
07.09.2012 20:00;1.4166
07.09.2012 21:00;1.4816
07.09.2012 22:00;1.4656
07.09.2012 23:00;1.51
08.09.2012 00:00;1.484
08.09.2012 01:00;1.4644
08.09.2012 02:00;1.4516
08.09.2012 03:00;1.3906
08.09.2012 04:00;1.5036
08.09.2012 05:00;1.4134
08.09.2012 06:00;1.4838
08.09.2012 07:00;1.4786
08.09.2012 08:00;1.43
08.09.2012 09:00;1.5132
08.09.2012 10:00;1.418
08.09.2012 11:00;1.4916
08.09.2012 12:00;1.435
08.09.2012 13:00;1.5704
08.09.2012 14:00;1.5182
08.09.2012 15:00;1.474
08.09.2012 16:00;1.5236
08.09.2012 17:00;1.5066
08.09.2012 18:00;1.54
08.09.2012 19:00;1.5584
08.09.2012 20:00;1.5
08.09.2012 21:00;1.4824
08.09.2012 22:00;1.4758
08.09.2012 23:00;1.4542
09.09.2012 00:00;1.4564
09.09.2012 01:00;1.3924
09.09.2012 02:00;1.359
09.09.2012 03:00;1.4366
09.09.2012 04:00;1.4156
09.09.2012 05:00;1.384
09.09.2012 06:00;1.4386
09.09.2012 07:00;1.3878
09.09.2012 08:00;1.393
09.09.2012 09:00;1.4386
09.09.2012 10:00;1.37
09.09.2012 11:00;1.4486
09.09.2012 12:00;1.4236
09.09.2012 13:00;1.4058
09.09.2012 14:00;1.4504
09.09.2012 15:00;1.4494
09.09.2012 16:00;1.4966
09.09.2012 17:00;1.5224
09.09.2012 18:00;1.424
09.09.2012 19:00;1.4156
09.09.2012 20:00;1.4306
09.09.2012 21:00;1.4108
09.09.2012 22:00;1.3692
09.09.2012 23:00;1.425
10.09.2012 00:00;1.4218
10.09.2012 01:00;1.4018
10.09.2012 02:00;1.3474
10.09.2012 03:00;1.3972
10.09.2012 04:00;1.3882
10.09.2012 05:00;1.3406
10.09.2012 06:00;1.3964
10.09.2012 07:00;1.4042
10.09.2012 08:00;1.3426
10.09.2012 09:00;1.4202
10.09.2012 10:00;1.424
10.09.2012 11:00;1.3604
10.09.2012 12:00;1.44
10.09.2012 13:00;1.504
10.09.2012 14:00;1.3462
10.09.2012 15:00;1.4952
10.09.2012 16:00;1.4778
10.09.2012 17:00;1.4322
10.09.2012 18:00;1.4046
10.09.2012 19:00;1.4634
10.09.2012 20:00;1.3958
10.09.2012 21:00;1.4496
10.09.2012 22:00;1.38
10.09.2012 23:00;1.3852
11.09.2012 00:00;1.4348
11.09.2012 01:00;1.3602
11.09.2012 02:00;1.3942
11.09.2012 03:00;1.4368
11.09.2012 04:00;1.3712
11.09.2012 05:00;1.4822
11.09.2012 06:00;1.452
11.09.2012 07:00;1.435
11.09.2012 08:00;1.4578
11.09.2012 09:00;1.4666
11.09.2012 10:00;1.4842
11.09.2012 11:00;1.4604
11.09.2012 12:00;1.417
11.09.2012 13:00;1.4886
11.09.2012 14:00;1.4824
11.09.2012 15:00;1.4546
11.09.2012 16:00;1.4656
11.09.2012 17:00;1.4726
11.09.2012 18:00;1.4054
11.09.2012 19:00;1.4284
11.09.2012 20:00;1.4304
11.09.2012 21:00;1.3512
11.09.2012 22:00;1.4576
11.09.2012 23:00;1.4394
12.09.2012 00:00;1.3858
12.09.2012 01:00;1.4582
12.09.2012 02:00;1.3966
12.09.2012 03:00;1.4224
12.09.2012 04:00;1.4164
12.09.2012 05:00;1.4164
12.09.2012 06:00;1.446
12.09.2012 07:00;1.436
12.09.2012 08:00;1.4438
12.09.2012 09:00;1.4546
12.09.2012 10:00;1.407
12.09.2012 11:00;1.4666
12.09.2012 12:00;1.3576
12.09.2012 13:00;1.4384
12.09.2012 14:00;1.4392
12.09.2012 15:00;1.469
12.09.2012 16:00;1.4618
12.09.2012 17:00;1.513
12.09.2012 18:00;1.545
12.09.2012 19:00;1.4826
12.09.2012 20:00;1.533
12.09.2012 21:00;1.447
12.09.2012 22:00;1.493
12.09.2012 23:00;1.4446
13.09.2012 00:00;1.506
13.09.2012 01:00;1.5066
13.09.2012 02:00;1.4492
13.09.2012 03:00;1.4496
13.09.2012 04:00;1.495
13.09.2012 05:00;1.4968
13.09.2012 06:00;1.4484
13.09.2012 07:00;1.5246
13.09.2012 08:00;1.5064
13.09.2012 09:00;1.4286
13.09.2012 10:00;1.5238
13.09.2012 11:00;1.5066
13.09.2012 12:00;1.4376
13.09.2012 13:00;1.5592
13.09.2012 14:00;1.471
13.09.2012 15:00;1.4446
13.09.2012 16:00;1.4836
13.09.2012 17:00;1.4706
13.09.2012 18:00;1.4036
13.09.2012 19:00;1.4208
13.09.2012 20:00;1.4356
13.09.2012 21:00;1.3762
